,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,mois,month
10,frère,brother
11,aucun,no
12,laisse,leash
13,eux,them
14,ville,city
15,chaque,each
16,parlé,speak
17,arrivé,come
18,devrait,should
19,bébé,baby
20,longtemps,long time
21,heures,hours
22,vont,will
23,pendant,while
24,revoir,meet again
25,place,square
26,compris,understood
27,attention,Warning
28,pourrais,could
29,affaire,case
30,donner,give
31,type,type
32,leurs,their
33,donné,given
34,corps,body
35,endroit,place
36,yeux,eyes
37,façon,way
38,écoute,listen
39,dont,whose
40,trouve,find
41,perdu,lost
42,main,hand
43,première,first
44,côté,side
45,pouvoir,power
46,vieux,old
47,sois,be
48,tiens,here
49,tellement,so much
50,enfant,child
51,venu,came
52,suite,after
53,pardon,sorry
54,venez,come
55,devant,in front of
56,vers,towards
57,minutes,minutes
58,demandé,request
59,mis,placed
60,belle,beautiful
61,droit,law
62,aujourd'hui,today
63,mari,husband
64,enfin,finally
65,espère,hope
66,eau,water
67,parti,left
68,nouvelle,new
69,boulot,job
70,arrêter,Stop
71,dirait,would say
72,terre,Earth
73,compte,account
74,donne,given
75,loin,far
76,croire,believe
77,chérie,sweetheart
78,filles,girls
79,jouer,to play
80,bureau,office
